transaction_id,source,campaign,influencer_id,user_id,product,date,orders,revenue
HKT-10022,influencer_campaign,Q4-2023-All-Brands,HKI-1005,HKU-45474,Biozyme Whey,2025-07-06,1,3662.69
HKT-10023,influencer_campaign,Q4-2023-All-Brands,HKI-1001,HKU-23680,BCAA Pro,2025-05-15,1,2734.1
HKT-10024,influencer_campaign,Q4-2023-All-Brands,HKI-1033,HKU-19459,Skin Radiance Collagen,2025-07-06,1,712.57
HKT-10025,influencer_campaign,Q4-2023-All-Brands,HKI-1024,HKU-46620,Multivitamin,2025-06-03,1,2660.09
HKT-10026,organic_search,Q4-2023-All-Brands,,HKU-16053,BCAA Pro,2025-06-23,1,1027.7
HKT-10027,influencer_campaign,Q4-2023-All-Brands,HKI-1010,HKU-36443,Fish Oil,2025-05-13,1,2381.3
HKT-10028,influencer_campaign,Q4-2023-All-Brands,HKI-1010,HKU-42799,Creatine Monohydrate,2025-06-07,1,2696.14
HKT-10029,direct,Q4-2023-All-Brands,,HKU-23970,SuperMilk for Kids,2025-07-17,1,1762.86
HKT-10030,influencer_campaign,Q4-2023-All-Brands,HKI-1013,HKU-20700,Skin Radiance Collagen,2025-07-07,1,2246.52
HKT-10031,influencer_campaign,Q4-2023-All-Brands,HKI-1017,HKU-16515,SuperMilk for Kids,2025-05-10,1,2951.7
HKT-10032,organic_search,Q4-2023-All-Brands,,HKU-36111,Creatine Monohydrate,2025-07-20,1,2320.26
HKT-10033,influencer_campaign,Q4-2023-All-Brands,HKI-1011,HKU-38161,BCAA Pro,2025-06-18,1,2335.96
HKT-10034,organic_search,Q4-2023-All-Brands,,HKU-29295,Active Teen Whey,2025-06-13,1,3208.0
HKT-10035,organic_search,Q4-2023-All-Brands,,HKU-23008,SuperMilk for Kids,2025-06-02,1,2308.44
HKT-10036,direct,Q4-2023-All-Brands,,HKU-34479,Fish Oil,2025-05-12,1,3252.93
HKT-10037,organic_search,Q4-2023-All-Brands,,HKU-37799,Multivitamin,2025-05-08,1,1623.93
HKT-10038,organic_search,Q4-2023-All-Brands,,HKU-25571,BCAA Pro,2025-05-14,1,3937.27
HKT-10039,organic_search,Q4-2023-All-Brands,,HKU-22010,Skin Radiance Collagen,2025-07-10,1,3132.26
HKT-10040,organic_search,Q4-2023-All-Brands,,HKU-44691,Creatine Monohydrate,2025-07-09,1,3875.59
HKT-10041,organic_search,Q4-2023-All-Brands,,HKU-22733,Fish Oil,2025-07-08,1,3230.49
HKT-10042,direct,Q4-2023-All-Brands,,HKU-27530,Biozyme Whey,2025-06-03,1,3161.34
HKT-10043,organic_search,Q4-2023-All-Brands,,HKU-43714,Creatine Monohydrate,2025-05-16,1,1755.94
HKT-10044,organic_search,Q4-2023-All-Brands,,HKU-22090,Skin Radiance Collagen,2025-06-30,1,3325.57
HKT-10045,organic_search,Q4-2023-All-Brands,,HKU-13845,Fish Oil,2025-06-06,1,2203.08
HKT-10046,influencer_campaign,Q4-2023-All-Brands,HKI-1013,HKU-29799,Active Teen Whey,2025-05-24,1,2434.25
HKT-10047,organic_search,Q4-2023-All-Brands,,HKU-22195,BCAA Pro,2025-06-07,1,1229.58
HKT-10048,direct,Q4-2023-All-Brands,,HKU-12428,BCAA Pro,2025-06-29,1,2019.43
HKT-10049,organic_search,Q4-2023-All-Brands,,HKU-33004,Skin Radiance Collagen,2025-06-06,1,3093.08
HKT-10050,influencer_campaign,Q4-2023-All-Brands,HKI-1006,HKU-17371,BCAA Pro,2025-05-12,1,540.25
HKT-10051,organic_search,Q4-2023-All-Brands,,HKU-44671,Skin Radiance Collagen,2025-05-22,1,2903.43
HKT-10052,organic_search,Q4-2023-All-Brands,,HKU-29804,Fish Oil,2025-06-29,1,961.46
HKT-10053,organic_search,Q4-2023-All-Brands,,HKU-21054,Fish Oil,2025-07-05,1,703.06
HKT-10054,influencer_campaign,Q4-2023-All-Brands,HKI-1007,HKU-22254,Active Teen Whey,2025-07-08,1,765.13
HKT-10055,influencer_campaign,Q4-2023-All-Brands,HKI-1036,HKU-25135,Active Teen Whey,2025-07-19,1,1386.01
HKT-10056,influencer_campaign,Q4-2023-All-Brands,HKI-1012,HKU-20512,Multivitamin,2025-05-15,1,967.06
HKT-10057,organic_search,Q4-2023-All-Brands,,HKU-29853,Biozyme Whey,2025-06-10,1,3589.15
HKT-10058,influencer_campaign,Q4-2023-All-Brands,HKI-1016,HKU-43928,Skin Radiance Collagen,2025-05-10,1,3139.5
HKT-10059,direct,Q4-2023-All-Brands,,HKU-11737,Active Teen Whey,2025-05-14,1,1241.14
HKT-10060,organic_search,Q4-2023-All-Brands,,HKU-26853,Fish Oil,2025-07-15,1,828.87
HKT-10061,organic_search,Q4-2023-All-Brands,,HKU-40446,Skin Radiance Collagen,2025-05-29,1,2464.41
HKT-10062,influencer_campaign,Q4-2023-All-Brands,HKI-1030,HKU-29666,Skin Radiance Collagen,2025-06-08,1,2661.58
HKT-10063,influencer_campaign,Q4-2023-All-Brands,HKI-1020,HKU-44256,SuperMilk for Kids,2025-05-15,1,1634.17
HKT-10064,influencer_campaign,Q4-2023-All-Brands,HKI-1007,HKU-38772,BCAA Pro,2025-06-27,1,1902.33
HKT-10065,organic_search,Q4-2023-All-Brands,,HKU-20866,Multivitamin,2025-05-24,1,2235.8
HKT-10066,organic_search,Q4-2023-All-Brands,,HKU-45182,SuperMilk for Kids,2025-04-26,1,3610.28
HKT-10067,influencer_campaign,Q4-2023-All-Brands,HKI-1004,HKU-26754,Creatine Monohydrate,2025-05-03,1,3529.67
HKT-10068,organic_search,Q4-2023-All-Brands,,HKU-48014,Skin Radiance Collagen,2025-06-26,1,3909.32
HKT-10069,influencer_campaign,Q4-2023-All-Brands,HKI-1022,HKU-21701,SuperMilk for Kids,2025-06-09,1,501.7
HKT-10070,influencer_campaign,Q4-2023-All-Brands,HKI-1046,HKU-35096,SuperMilk for Kids,2025-06-22,1,1446.05
HKT-10071,influencer_campaign,Q4-2023-All-Brands,HKI-1017,HKU-29602,SuperMilk for Kids,2025-05-28,1,2354.52
HKT-10072,influencer_campaign,Q4-2023-All-Brands,HKI-1012,HKU-35812,Fish Oil,2025-07-18,1,3596.67
HKT-10073,organic_search,Q4-2023-All-Brands,,HKU-27418,Active Teen Whey,2025-06-15,1,1570.23
HKT-10074,organic_search,Q4-2023-All-Brands,,HKU-36264,Fish Oil,2025-07-12,1,3802.35
HKT-10075,organic_search,Q4-2023-All-Brands,,HKU-27042,Active Teen Whey,2025-04-30,1,818.11
HKT-10076,organic_search,Q4-2023-All-Brands,,HKU-40315,Multivitamin,2025-05-29,1,846.85
HKT-10077,organic_search,Q4-2023-All-Brands,,HKU-41463,Creatine Monohydrate,2025-06-27,1,3380.61
HKT-10078,influencer_campaign,Q4-2023-All-Brands,HKI-1036,HKU-21993,BCAA Pro,2025-06-13,1,2236.19
HKT-10079,organic_search,Q4-2023-All-Brands,,HKU-36308,Multivitamin,2025-04-23,1,3125.88
HKT-10080,organic_search,Q4-2023-All-Brands,,HKU-30463,SuperMilk for Kids,2025-05-09,1,1132.79
HKT-10081,direct,Q4-2023-All-Brands,,HKU-25397,Biozyme Whey,2025-06-14,1,2762.55
HKT-10082,organic_search,Q4-2023-All-Brands,,HKU-37625,Active Teen Whey,2025-06-04,1,1858.89
HKT-10083,organic_search,Q4-2023-All-Brands,,HKU-14370,Skin Radiance Collagen,2025-06-11,1,3588.9
HKT-10084,direct,Q4-2023-All-Brands,,HKU-12961,Active Teen Whey,2025-06-27,1,1777.47
HKT-10085,influencer_campaign,Q4-2023-All-Brands,HKI-1046,HKU-49119,Active Teen Whey,2025-07-04,1,735.45
HKT-10086,organic_search,Q4-2023-All-Brands,,HKU-11331,BCAA Pro,2025-07-11,1,876.06
HKT-10087,influencer_campaign,Q4-2023-All-Brands,HKI-1039,HKU-46641,BCAA Pro,2025-06-01,1,3665.82
HKT-10088,organic_search,Q4-2023-All-Brands,,HKU-36123,Fish Oil,2025-04-25,1,928.58
HKT-10089,organic_search,Q4-2023-All-Brands,,HKU-47655,Biozyme Whey,2025-05-17,1,2021.51
HKT-10090,organic_search,Q4-2023-All-Brands,,HKU-32858,Fish Oil,2025-05-21,1,2276.38
HKT-10091,direct,Q4-2023-All-Brands,,HKU-21024,Fish Oil,2025-05-08,1,2220.07
HKT-10092,organic_search,Q4-2023-All-Brands,,HKU-27273,Fish Oil,2025-06-03,1,3423.24
HKT-10093,influencer_campaign,Q4-2023-All-Brands,HKI-1031,HKU-20400,Creatine Monohydrate,2025-06-04,1,3896.87
HKT-10094,direct,Q4-2023-All-Brands,,HKU-38559,Skin Radiance Collagen,2025-06-04,1,2698.26
HKT-10095,organic_search,Q4-2023-All-Brands,,HKU-39981,Fish Oil,2025-06-29,1,2171.35
HKT-10096,organic_search,Q4-2023-All-Brands,,HKU-20656,Active Teen Whey,2025-07-07,1,2577.37
HKT-10097,influencer_campaign,Q4-2023-All-Brands,HKI-1046,HKU-18123,Skin Radiance Collagen,2025-05-14,1,3961.89
HKT-10098,organic_search,Q4-2023-All-Brands,,HKU-46190,Skin Radiance Collagen,2025-06-12,1,3763.54
HKT-10099,organic_search,Q4-2023-All-Brands,,HKU-32720,Active Teen Whey,2025-05-10,1,2984.29
HKT-10100,influencer_campaign,Q4-2023-All-Brands,HKI-1008,HKU-33030,SuperMilk for Kids,2025-04-26,1,2227.89
HKT-10101,influencer_campaign,Q4-2023-All-Brands,HKI-1003,HKU-17527,Biozyme Whey,2025-06-08,1,1902.12
HKT-10102,influencer_campaign,Q4-2023-All-Brands,HKI-1038,HKU-37973,Creatine Monohydrate,2025-07-19,1,3791.83
HKT-10103,organic_search,Q4-2023-All-Brands,,HKU-29840,Active Teen Whey,2025-05-06,1,2318.36
HKT-10104,influencer_campaign,Q4-2023-All-Brands,HKI-1048,HKU-38247,Fish Oil,2025-06-01,1,2759.7
HKT-10105,organic_search,Q4-2023-All-Brands,,HKU-14861,Fish Oil,2025-07-17,1,2207.2
HKT-10106,organic_search,Q4-2023-All-Brands,,HKU-10740,Skin Radiance Collagen,2025-07-19,1,1501.87
HKT-10107,direct,Q4-2023-All-Brands,,HKU-25973,BCAA Pro,2025-07-13,1,1156.44
HKT-10108,organic_search,Q4-2023-All-Brands,,HKU-42128,SuperMilk for Kids,2025-06-11,1,3473.42
HKT-10109,influencer_campaign,Q4-2023-All-Brands,HKI-1047,HKU-48512,SuperMilk for Kids,2025-05-15,1,3492.13
HKT-10110,organic_search,Q4-2023-All-Brands,,HKU-10391,Multivitamin,2025-07-01,1,2020.82
HKT-10111,influencer_campaign,Q4-2023-All-Brands,HKI-1042,HKU-39652,SuperMilk for Kids,2025-06-09,1,945.49
HKT-10112,organic_search,Q4-2023-All-Brands,,HKU-49153,Skin Radiance Collagen,2025-06-28,1,1524.12
HKT-10113,organic_search,Q4-2023-All-Brands,,HKU-24378,Multivitamin,2025-07-20,1,2720.01
HKT-10114,organic_search,Q4-2023-All-Brands,,HKU-11100,Skin Radiance Collagen,2025-07-17,1,2088.83
HKT-10115,influencer_campaign,Q4-2023-All-Brands,HKI-1050,HKU-45661,Biozyme Whey,2025-07-06,1,1612.71
HKT-10116,organic_search,Q4-2023-All-Brands,,HKU-25470,Skin Radiance Collagen,2025-05-28,1,3447.09
HKT-10117,direct,Q4-2023-All-Brands,,HKU-11676,Fish Oil,2025-07-17,1,1458.98
HKT-10118,organic_search,Q4-2023-All-Brands,,HKU-42552,Active Teen Whey,2025-05-10,1,521.4
HKT-10119,organic_search,Q4-2023-All-Brands,,HKU-48900,Creatine Monohydrate,2025-06-01,1,811.22
HKT-10120,organic_search,Q4-2023-All-Brands,,HKU-45526,Fish Oil,2025-05-10,1,3445.04
HKT-10121,influencer_campaign,Q4-2023-All-Brands,HKI-1006,HKU-48844,Creatine Monohydrate,2025-07-16,1,1925.14
HKT-10122,influencer_campaign,Q4-2023-All-Brands,HKI-1020,HKU-33595,Skin Radiance Collagen,2025-06-28,1,981.85
HKT-10123,organic_search,Q4-2023-All-Brands,,HKU-26922,Fish Oil,2025-05-18,1,3507.58
HKT-10124,organic_search,Q4-2023-All-Brands,,HKU-38768,Fish Oil,2025-04-24,1,3662.56
HKT-10125,direct,Q4-2023-All-Brands,,HKU-21700,Fish Oil,2025-05-28,1,512.98
HKT-10126,organic_search,Q4-2023-All-Brands,,HKU-44841,Fish Oil,2025-05-04,1,1245.95
HKT-10127,organic_search,Q4-2023-All-Brands,,HKU-41128,Biozyme Whey,2025-04-25,1,624.63
HKT-10128,organic_search,Q4-2023-All-Brands,,HKU-22102,Biozyme Whey,2025-05-04,1,645.42
HKT-10129,influencer_campaign,Q4-2023-All-Brands,HKI-1033,HKU-37701,Active Teen Whey,2025-05-26,1,1950.68
HKT-10130,organic_search,Q4-2023-All-Brands,,HKU-38108,SuperMilk for Kids,2025-07-11,1,521.28
HKT-10131,influencer_campaign,Q4-2023-All-Brands,HKI-1032,HKU-15120,Fish Oil,2025-06-27,1,974.95
HKT-10132,organic_search,Q4-2023-All-Brands,,HKU-40303,SuperMilk for Kids,2025-06-23,1,1062.34
HKT-10133,organic_search,Q4-2023-All-Brands,,HKU-23785,Active Teen Whey,2025-06-08,1,1961.42
HKT-10134,organic_search,Q4-2023-All-Brands,,HKU-48876,Multivitamin,2025-05-21,1,946.01
HKT-10135,influencer_campaign,Q4-2023-All-Brands,HKI-1043,HKU-32448,Fish Oil,2025-06-19,1,2210.21
HKT-10136,influencer_campaign,Q4-2023-All-Brands,HKI-1004,HKU-30972,Creatine Monohydrate,2025-06-07,1,2118.1
HKT-10137,organic_search,Q4-2023-All-Brands,,HKU-37264,Biozyme Whey,2025-05-02,1,2931.02
HKT-10138,influencer_campaign,Q4-2023-All-Brands,HKI-1017,HKU-24808,Fish Oil,2025-04-30,1,3215.4
HKT-10139,direct,Q4-2023-All-Brands,,HKU-14056,SuperMilk for Kids,2025-06-07,1,3502.04
HKT-10140,organic_search,Q4-2023-All-Brands,,HKU-11603,BCAA Pro,2025-06-15,1,876.09
HKT-10141,organic_search,Q4-2023-All-Brands,,HKU-49211,BCAA Pro,2025-07-17,1,3982.43
HKT-10142,organic_search,Q4-2023-All-Brands,,HKU-45919,Skin Radiance Collagen,2025-06-02,1,3216.09
HKT-10143,organic_search,Q4-2023-All-Brands,,HKU-29101,Multivitamin,2025-05-20,1,3168.55
HKT-10144,organic_search,Q4-2023-All-Brands,,HKU-39824,Fish Oil,2025-05-09,1,509.48
HKT-10145,organic_search,Q4-2023-All-Brands,,HKU-43379,Fish Oil,2025-07-13,1,3733.42
HKT-10146,organic_search,Q4-2023-All-Brands,,HKU-18349,SuperMilk for Kids,2025-05-01,1,1778.67
HKT-10147,organic_search,Q4-2023-All-Brands,,HKU-24295,SuperMilk for Kids,2025-06-27,1,3188.93
HKT-10148,organic_search,Q4-2023-All-Brands,,HKU-17625,BCAA Pro,2025-05-03,1,3422.39
HKT-10149,influencer_campaign,Q4-2023-All-Brands,HKI-1043,HKU-19658,BCAA Pro,2025-05-21,1,1508.43
HKT-10150,organic_search,Q4-2023-All-Brands,,HKU-24439,BCAA Pro,2025-04-27,1,1774.53
HKT-10151,direct,Q4-2023-All-Brands,,HKU-19105,Creatine Monohydrate,2025-06-10,1,787.4
HKT-10152,direct,Q4-2023-All-Brands,,HKU-24447,BCAA Pro,2025-05-17,1,1372.99
HKT-10153,organic_search,Q4-2023-All-Brands,,HKU-34965,Creatine Monohydrate,2025-07-12,1,3685.28
HKT-10154,organic_search,Q4-2023-All-Brands,,HKU-26152,Biozyme Whey,2025-07-18,1,3473.14
HKT-10155,organic_search,Q4-2023-All-Brands,,HKU-45821,SuperMilk for Kids,2025-05-31,1,1757.34
HKT-10156,direct,Q4-2023-All-Brands,,HKU-38918,Skin Radiance Collagen,2025-04-24,1,1577.33
HKT-10157,influencer_campaign,Q4-2023-All-Brands,HKI-1031,HKU-42172,BCAA Pro,2025-05-24,1,2746.11
HKT-10158,organic_search,Q4-2023-All-Brands,,HKU-26294,Multivitamin,2025-07-01,1,3422.5
HKT-10159,organic_search,Q4-2023-All-Brands,,HKU-42951,Multivitamin,2025-07-19,1,2151.57
HKT-10160,influencer_campaign,Q4-2023-All-Brands,HKI-1003,HKU-38796,SuperMilk for Kids,2025-05-09,1,1995.11
HKT-10161,organic_search,Q4-2023-All-Brands,,HKU-28087,Fish Oil,2025-06-23,1,3289.09
HKT-10162,influencer_campaign,Q4-2023-All-Brands,HKI-1036,HKU-10211,Fish Oil,2025-05-15,1,3914.2
HKT-10163,direct,Q4-2023-All-Brands,,HKU-39336,Fish Oil,2025-05-29,1,1088.55
HKT-10164,organic_search,Q4-2023-All-Brands,,HKU-44842,Multivitamin,2025-06-10,1,1235.19
HKT-10165,organic_search,Q4-2023-All-Brands,,HKU-15062,Skin Radiance Collagen,2025-05-28,1,2107.27
HKT-10166,organic_search,Q4-2023-All-Brands,,HKU-35137,Skin Radiance Collagen,2025-07-08,1,3129.56
HKT-10167,organic_search,Q4-2023-All-Brands,,HKU-37545,Skin Radiance Collagen,2025-05-03,1,2130.75
HKT-10168,influencer_campaign,Q4-2023-All-Brands,HKI-1042,HKU-11482,Multivitamin,2025-07-05,1,3589.94
HKT-10169,influencer_campaign,Q4-2023-All-Brands,HKI-1004,HKU-15271,Biozyme Whey,2025-07-14,1,3754.04
HKT-10170,organic_search,Q4-2023-All-Brands,,HKU-10221,SuperMilk for Kids,2025-05-11,1,1761.31
HKT-10171,organic_search,Q4-2023-All-Brands,,HKU-36192,Biozyme Whey,2025-05-13,1,1349.58
HKT-10172,organic_search,Q4-2023-All-Brands,,HKU-28965,Multivitamin,2025-06-22,1,3073.94
HKT-10173,organic_search,Q4-2023-All-Brands,,HKU-31771,Creatine Monohydrate,2025-06-10,1,1478.67
HKT-10174,organic_search,Q4-2023-All-Brands,,HKU-20709,Skin Radiance Collagen,2025-07-13,1,972.63
HKT-10175,organic_search,Q4-2023-All-Brands,,HKU-39804,BCAA Pro,2025-04-30,1,2378.89
HKT-10176,influencer_campaign,Q4-2023-All-Brands,HKI-1034,HKU-46162,Active Teen Whey,2025-06-22,1,2096.98
HKT-10177,organic_search,Q4-2023-All-Brands,,HKU-39111,SuperMilk for Kids,2025-05-28,1,2114.61
HKT-10178,influencer_campaign,Q4-2023-All-Brands,HKI-1026,HKU-43240,Biozyme Whey,2025-06-02,1,2517.93
HKT-10179,organic_search,Q4-2023-All-Brands,,HKU-40980,SuperMilk for Kids,2025-05-12,1,1934.08
HKT-10180,organic_search,Q4-2023-All-Brands,,HKU-29071,SuperMilk for Kids,2025-06-03,1,3164.94
HKT-10181,organic_search,Q4-2023-All-Brands,,HKU-16107,Creatine Monohydrate,2025-06-18,1,2679.59
HKT-10182,influencer_campaign,Q4-2023-All-Brands,HKI-1047,HKU-15729,Fish Oil,2025-07-03,1,3331.81
HKT-10183,organic_search,Q4-2023-All-Brands,,HKU-43811,Multivitamin,2025-06-02,1,3330.14
HKT-10184,organic_search,Q4-2023-All-Brands,,HKU-44524,Multivitamin,2025-07-15,1,2575.55
HKT-10185,influencer_campaign,Q4-2023-All-Brands,HKI-1037,HKU-27514,Skin Radiance Collagen,2025-05-26,1,3271.67
HKT-10186,organic_search,Q4-2023-All-Brands,,HKU-14470,Skin Radiance Collagen,2025-07-15,1,2535.27
HKT-10187,organic_search,Q4-2023-All-Brands,,HKU-38733,BCAA Pro,2025-06-20,1,3208.06
HKT-10188,organic_search,Q4-2023-All-Brands,,HKU-14988,SuperMilk for Kids,2025-06-21,1,3124.95
HKT-10189,organic_search,Q4-2023-All-Brands,,HKU-10959,Biozyme Whey,2025-06-19,1,2689.01
HKT-10190,organic_search,Q4-2023-All-Brands,,HKU-30622,Active Teen Whey,2025-06-10,1,2161.38
HKT-10191,influencer_campaign,Q4-2023-All-Brands,HKI-1010,HKU-34286,SuperMilk for Kids,2025-07-17,1,994.14
HKT-10192,organic_search,Q4-2023-All-Brands,,HKU-31916,Fish Oil,2025-07-15,1,1078.31
HKT-10193,organic_search,Q4-2023-All-Brands,,HKU-36299,Fish Oil,2025-06-21,1,2135.65
HKT-10194,organic_search,Q4-2023-All-Brands,,HKU-49734,Skin Radiance Collagen,2025-05-09,1,708.08
HKT-10195,influencer_campaign,Q4-2023-All-Brands,HKI-1038,HKU-49348,SuperMilk for Kids,2025-07-07,1,693.68
HKT-10196,organic_search,Q4-2023-All-Brands,,HKU-46050,Fish Oil,2025-05-30,1,2110.85
HKT-10197,influencer_campaign,Q4-2023-All-Brands,HKI-1023,HKU-47178,Creatine Monohydrate,2025-06-13,1,3336.83
HKT-10198,direct,Q4-2023-All-Brands,,HKU-24879,Fish Oil,2025-06-25,1,855.29
HKT-10199,influencer_campaign,Q4-2023-All-Brands,HKI-1040,HKU-20488,Active Teen Whey,2025-06-16,1,849.96
HKT-10200,organic_search,Q4-2023-All-Brands,,HKU-27639,Multivitamin,2025-06-19,1,3810.31
HKT-10201,organic_search,Q4-2023-All-Brands,,HKU-39119,Biozyme Whey,2025-06-04,1,3818.25
HKT-10202,influencer_campaign,Q4-2023-All-Brands,HKI-1023,HKU-13303,Biozyme Whey,2025-06-19,1,1862.02
HKT-10203,influencer_campaign,Q4-2023-All-Brands,HKI-1038,HKU-12899,BCAA Pro,2025-07-10,1,2115.81
HKT-10204,organic_search,Q4-2023-All-Brands,,HKU-34406,Creatine Monohydrate,2025-05-17,1,3877.31
HKT-10205,organic_search,Q4-2023-All-Brands,,HKU-27373,Fish Oil,2025-05-27,1,2057.11
HKT-10206,influencer_campaign,Q4-2023-All-Brands,HKI-1009,HKU-24717,Fish Oil,2025-04-29,1,2487.83
HKT-10207,influencer_campaign,Q4-2023-All-Brands,HKI-1010,HKU-26683,Biozyme Whey,2025-06-23,1,3863.02
HKT-10208,organic_search,Q4-2023-All-Brands,,HKU-17481,Active Teen Whey,2025-06-27,1,592.73
HKT-10209,organic_search,Q4-2023-All-Brands,,HKU-38618,SuperMilk for Kids,2025-06-01,1,892.59
HKT-10210,influencer_campaign,Q4-2023-All-Brands,HKI-1041,HKU-22378,Active Teen Whey,2025-07-11,1,1494.04
HKT-10211,organic_search,Q4-2023-All-Brands,,HKU-34888,Active Teen Whey,2025-06-23,1,2805.2
HKT-10212,organic_search,Q4-2023-All-Brands,,HKU-43422,Active Teen Whey,2025-05-30,1,3093.3
HKT-10213,organic_search,Q4-2023-All-Brands,,HKU-36494,Multivitamin,2025-06-14,1,2350.92
HKT-10214,influencer_campaign,Q4-2023-All-Brands,HKI-1014,HKU-13078,Creatine Monohydrate,2025-07-05,1,751.59
HKT-10215,influencer_campaign,Q4-2023-All-Brands,HKI-1003,HKU-21529,Multivitamin,2025-06-09,1,3500.3
HKT-10216,influencer_campaign,Q4-2023-All-Brands,HKI-1030,HKU-18815,Biozyme Whey,2025-05-18,1,1979.23
HKT-10217,organic_search,Q4-2023-All-Brands,,HKU-36903,Fish Oil,2025-06-27,1,846.25
HKT-10218,organic_search,Q4-2023-All-Brands,,HKU-14971,Skin Radiance Collagen,2025-06-27,1,1958.88
HKT-10219,organic_search,Q4-2023-All-Brands,,HKU-48156,Skin Radiance Collagen,2025-05-18,1,1197.54
HKT-10220,organic_search,Q4-2023-All-Brands,,HKU-27369,BCAA Pro,2025-07-11,1,809.73
HKT-10221,influencer_campaign,Q4-2023-All-Brands,HKI-1034,HKU-20820,Multivitamin,2025-06-16,1,3751.6
HKT-10222,direct,Q4-2023-All-Brands,,HKU-31293,BCAA Pro,2025-05-03,1,1696.22
HKT-10223,organic_search,Q4-2023-All-Brands,,HKU-23869,Multivitamin,2025-07-19,1,3023.83
HKT-10224,organic_search,Q4-2023-All-Brands,,HKU-30063,Active Teen Whey,2025-06-11,1,616.2
HKT-10225,influencer_campaign,Q4-2023-All-Brands,HKI-1026,HKU-30421,Active Teen Whey,2025-07-11,1,2266.53
HKT-10226,influencer_campaign,Q4-2023-All-Brands,HKI-1028,HKU-18166,Creatine Monohydrate,2025-04-26,1,648.04
HKT-10227,influencer_campaign,Q4-2023-All-Brands,HKI-1050,HKU-13316,SuperMilk for Kids,2025-07-05,1,2757.07
HKT-10228,direct,Q4-2023-All-Brands,,HKU-15690,Skin Radiance Collagen,2025-06-21,1,3932.6
HKT-10229,organic_search,Q4-2023-All-Brands,,HKU-23852,Fish Oil,2025-07-15,1,3476.99
HKT-10230,organic_search,Q4-2023-All-Brands,,HKU-39269,Fish Oil,2025-06-20,1,548.93
HKT-10231,organic_search,Q4-2023-All-Brands,,HKU-49123,Skin Radiance Collagen,2025-04-25,1,3551.65
HKT-10232,organic_search,Q4-2023-All-Brands,,HKU-30979,Multivitamin,2025-06-10,1,1880.88
HKT-10233,organic_search,Q4-2023-All-Brands,,HKU-30733,Fish Oil,2025-07-09,1,1807.83
HKT-10234,organic_search,Q4-2023-All-Brands,,HKU-12897,Skin Radiance Collagen,2025-07-06,1,2360.89
HKT-10235,organic_search,Q4-2023-All-Brands,,HKU-32142,Active Teen Whey,2025-07-11,1,566.45
HKT-10236,organic_search,Q4-2023-All-Brands,,HKU-12044,Multivitamin,2025-06-23,1,1377.21
